,Fecha,Descripcion,Credito,Debito,Saldo
0,Fecha,Descripción Origen,Crédito,Débito,Saldo
1,02/05/24,ACREDITAMIENTO,"567,52",,"570.281,78"
2,,PRISMA-COMERCIOS,,,
3,,VISA EST.:0064565229,,,
4,02/05/24,ING. BRUTOS S/ CRED,,"-10,22","570.271,56"
5,,LEY 12837-BS.AS.,,,
6,02/05/24,IMP. CRE. LEY 25413,,"-3,41","570.268,15"
7,02/05/24,IMP. DEB. LEY 25413,,"-0,06","570.268,09"
8,02/05/24,ACREDITAMIENTO,"855,41",,"571.123,50"
9,,PRISMA-COMERCIOS,,,
10,,VISA EST.:0064565229,,,
11,02/05/24,ING. BRUTOS S/ CRED,,"-15,40","571.108,10"
12,,LEY 12837-BS.AS.,,,
13,02/05/24,IMP. CRE. LEY 25413,,"-5,13","571.102,97"
14,02/05/24,IMP. DEB. LEY 25413,,"-0,09","571.102,88"
15,02/05/24,ACREDITAMIENTO,"1.280,94",,"572.383,82"
16,,PRISMA-COMERCIOS,,,
17,,VISA EST.:0064567639,,,
18,02/05/24,ING. BRUTOS S/ CRED,,"-23,06","572.360,76"
19,,LEY 12837-BS.AS.,,,
20,02/05/24,IMP. CRE. LEY 25413,,"-7,69","572.353,07"
21,,,,,
22,02/05/24,IMP. DEB. LEY 25413,,"-0,14","572.352,93"
23,02/05/24,ACREDITAMIENTO,"1.809,87",,"574.162,80"
24,,PRISMA-COMERCIOS,,,
25,,VISA EST.:0064567639,,,
26,02/05/24,ING. BRUTOS S/ CRED,,"-32,58","574.130,22"
27,,LEY 12837-BS.AS.,,,
28,02/05/24,IMP. CRE. LEY 25413,,"-10,86","574.119,36"
29,02/05/24,IMP. DEB. LEY 25413,,"-0,20","574.119,16"
30,02/05/24,ACREDITAMIENTO,"2.588,74",,"576.707,90"
31,,PRISMA-COMERCIOS,,,
32,,VISA EST.:0064538945,,,
33,02/05/24,ING. BRUTOS S/ CRED,,"-46,60","576.661,30"
34,,LEY 12837-BS.AS.,,,
35,02/05/24,IMP. CRE. LEY 25413,,"-15,53","576.645,77"
36,02/05/24,IMP. DEB. LEY 25413,,"-0,28","576.645,49"
37,02/05/24,ACREDITAMIENTO,"4.134,67",,"580.780,16"
38,,PRISMA-COMERCIOS,,,
39,,MAST EST.:0064567688,,,
40,02/05/24,ING. BRUTOS S/ CRED,,"-74,42","580.705,74"
41,,LEY 12837-BS.AS.,,,
42,02/05/24,IMP. CRE. LEY 25413,,"-24,81","580.680,93"
43,02/05/24,IMP. DEB. LEY 25413,,"-0,45","580.680,48"
44,02/05/24,ACREDITAMIENTO,"4.349,93",,"585.030,41"
45,,PRISMA-COMERCIOS,,,
46,,MAST EST.:0064567688,,,
47,02/05/24,ING. BRUTOS S/ CRED,,"-78,30","584.952,11"
48,,LEY 12837-BS.AS.,,,
49,02/05/24,IMP. CRE. LEY 25413,,"-26,10","584.926,01"
50,02/05/24,IMP. DEB. LEY 25413,,"-0,47","584.925,54"
51,02/05/24,ACREDITAMIENTO,"7.705,03",,"592.630,57"
52,,PRISMA-COMERCIOS,,,
53,,MAST EST.:0064565278,,,
54,02/05/24,ING. BRUTOS S/ CRED,,"-138,69","592.491,88"
55,,LEY 12837-BS.AS.,,,
56,02/05/24,IMP. CRE. LEY 25413,,"-46,23","592.445,65"
57,02/05/24,IMP. DEB. LEY 25413,,"-0,83","592.444,82"
58,,,,,
59,02/05/24,ACREDITAMIENTO,"7.909,85",,"600.354,67"
60,,PRISMA-COMERCIOS,,,
61,,MAST EST.:0064538986,,,
62,02/05/24,ING. BRUTOS S/ CRED,,"-142,38","600.212,29"
63,,LEY 12837-BS.AS.,,,
64,02/05/24,IMP. CRE. LEY 25413,,"-47,46","600.164,83"
65,02/05/24,IMP. DEB. LEY 25413,,"-0,85","600.163,98"
66,02/05/24,ACREDITAMIENTO,"12.328,05",,"612.492,03"
67,,PRISMA-COMERCIOS,,,
68,,MAST EST.:0086629409,,,
69,02/05/24,ING. BRUTOS S/ CRED,,"-221,90","612.270,13"
70,,LEY 12837-BS.AS.,,,
71,02/05/24,IMP. CRE. LEY 25413,,"-73,97","612.196,16"
72,02/05/24,IMP. DEB. LEY 25413,,"-1,33","612.194,83"
73,02/05/24,ACREDITAMIENTO,"14.307,95",,"626.502,78"
74,,PRISMA-COMERCIOS,,,
75,,VISA EST.:0086629359,,,
76,02/05/24,ING. BRUTOS S/ CRED,,"-257,54","626.245,24"
77,,LEY 12837-BS.AS.,,,
78,02/05/24,IMP. CRE. LEY 25413,,"-85,85","626.159,39"
79,02/05/24,IMP. DEB. LEY 25413,,"-1,55","626.157,84"
80,02/05/24,ACREDITAMIENTO,"18.143,94",,"644.301,78"
81,,PRISMA-COMERCIOS,,,
82,,MAST EST.:0064565278,,,
83,02/05/24,ING. BRUTOS S/ CRED,,"-326,59","643.975,19"
84,,LEY 12837-BS.AS.,,,
85,02/05/24,IMP. CRE. LEY 25413,,"-108,86","643.866,33"
86,02/05/24,IMP. DEB. LEY 25413,,"-1,96","643.864,37"
87,02/05/24,ACREDITAMIENTO,"26.041,05",,"669.905,42"
88,,PRISMA-COMERCIOS,,,
89,,VISA EST.:0064538945,,,
90,02/05/24,ING. BRUTOS S/ CRED,,"-468,74","669.436,68"
91,,LEY 12837-BS.AS.,,,
92,02/05/24,IMP. CRE. LEY 25413,,"-156,25","669.280,43"
93,02/05/24,IMP. DEB. LEY 25413,,"-2,81","669.277,62"
94,02/05/24,ACREDITAMIENTO,"35.999,07",,"705.276,69"
95,,PRISMA-COMERCIOS,,,
96,,VISA EST.:0064567639,,,
97,,,,,
